iter	Accuracy	MultiClass
296	0.9971387697	0.1991613541
297	0.9971387697	0.1979683787
298	0.9971387697	0.197356999
299	0.9971387697	0.1969720792
300	0.9971387697	0.1963383491
301	0.9971387697	0.1956440365
302	0.9971387697	0.1948413641
303	0.9971387697	0.1943106144
304	0.9971387697	0.1939889952
305	0.9971387697	0.1933770752
306	0.9971387697	0.1922963852
307	0.9971387697	0.1912166646
308	0.9971387697	0.1906212963
309	0.9971387697	0.1899767676
310	0.9971387697	0.1893098606
311	0.9971387697	0.1890786303
312	0.9971387697	0.1886056217
313	0.9971387697	0.1878280853
314	0.9971387697	0.1870592089
315	0.9971387697	0.1867710497
316	0.9971387697	0.1859659131
317	0.9971387697	0.1853068383
318	0.9971387697	0.1848387726
319	0.9971387697	0.1840133342
320	0.9971387697	0.183667393
321	0.9971387697	0.1831565603
322	0.9971387697	0.1826679064
323	0.9971387697	0.1817436158
324	0.9971387697	0.1813998782
325	0.9971387697	0.1809674057
326	0.9971387697	0.1804332089
327	0.9971387697	0.18006014
328	0.9971387697	0.1792792162
329	0.9971387697	0.1788013933
330	0.9971387697	0.1780651478
331	0.9971387697	0.1773606596
332	0.9971387697	0.1767758432
333	0.9971387697	0.1761098492
334	0.9971387697	0.1753894314
335	0.9971387697	0.175023851
336	0.9971387697	0.1744054318
337	0.9971387697	0.1739721403
338	0.9971387697	0.1733736202
339	0.9971387697	0.1727554127
340	0.9971387697	0.1722951641
341	0.9971387697	0.1718130618
342	0.9971387697	0.1712207428
343	0.9971387697	0.1706922138
344	0.9971387697	0.1702059441
345	0.9971387697	0.1696197114
346	0.9971387697	0.1690306855
347	0.9971387697	0.1683445732
348	0.9971387697	0.1678474368
349	0.9971387697	0.1673462188
350	0.9971387697	0.1668217402
351	0.9971387697	0.1660387394
352	0.9971387697	0.1655438083
353	0.9971387697	0.1653108809
354	0.9971387697	0.164703054
355	0.9985693848	0.1640532691
356	0.9985693848	0.1635402539
357	0.9985693848	0.1632712139
358	0.9985693848	0.1629266044
359	0.9985693848	0.1624423017
360	0.9985693848	0.1619227493
361	0.9985693848	0.1615230814
362	0.9985693848	0.1611431244
363	0.9985693848	0.1608398756
364	0.9985693848	0.1603133315
365	0.9985693848	0.1598019747
366	0.9985693848	0.1594008796
367	0.9985693848	0.1590105723
368	0.9985693848	0.158203329
369	0.9985693848	0.157677952
370	0.9985693848	0.1573109843
371	0.9985693848	0.1570247839
372	0.9985693848	0.1566786064
373	0.9985693848	0.1559964458
374	0.9985693848	0.1556006989
375	0.9985693848	0.1552091666
376	0.9985693848	0.1547512179
377	0.9985693848	0.1539700753
378	0.9985693848	0.153282805
379	0.9985693848	0.1527064553
380	0.9985693848	0.1519889683
381	0.9985693848	0.1517827961
382	0.9985693848	0.1512618355
383	0.9985693848	0.1511643666
384	0.9985693848	0.1507102072
385	0.9985693848	0.1502995866
386	0.9985693848	0.1497895145
387	0.9985693848	0.1494263414
388	0.9985693848	0.1490137796
389	0.9985693848	0.1484449275
390	0.9985693848	0.1480656928
391	0.9985693848	0.1477427637
392	0.9985693848	0.1474285047
393	0.9985693848	0.1470259551
394	0.9985693848	0.1464647701
395	0.9985693848	0.1460352821
396	0.9985693848	0.1454006954
397	0.9985693848	0.1449564638
398	0.9985693848	0.1445255536
399	0.9985693848	0.1438041766
400	0.9985693848	0.1431761373
401	0.9985693848	0.1427220582
402	0.9985693848	0.1421052587
403	0.9985693848	0.1416616053
404	0.9985693848	0.1412312969
405	0.9985693848	0.1406300592
406	0.9985693848	0.1401970349
407	0.9985693848	0.139925742
408	0.9985693848	0.1394464795
409	0.9985693848	0.1391130524
410	0.9985693848	0.1388173539
411	0.9985693848	0.1382730243
412	0.9985693848	0.1377503038
413	0.9985693848	0.1373218391
414	0.9985693848	0.1367173022
415	0.9985693848	0.1363186994
416	0.9985693848	0.1361055788
417	0.9985693848	0.1357270568
418	0.9985693848	0.1354059852
419	0.9985693848	0.134914264
420	0.9985693848	0.134404868
421	0.9985693848	0.1340249164
422	0.9985693848	0.1336299788
423	0.9985693848	0.1332326775
424	0.9985693848	0.1325746987
425	0.9985693848	0.1321784834
426	0.9985693848	0.1316597341
427	0.9985693848	0.1313078038
428	0.9985693848	0.1309230001
429	0.9985693848	0.1305584596
430	0.9985693848	0.1302627737
431	0.9985693848	0.1300216762
432	0.9985693848	0.1297390059
433	0.9985693848	0.129370946
434	0.9985693848	0.1290087809
435	0.9985693848	0.1284325227
436	0.9985693848	0.1281155907
437	0.9985693848	0.1276927879
438	0.9985693848	0.1273210691
439	0.9985693848	0.1270531359
